//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 10-11-2015
//--  Time: 15:40
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: 20(C), 	Resistance 1: 2500 Ohms 
//--    Temperature2: 50(C), 	Resistance 2: 800 Ohms 
//--    Temperature3: 90(C), 	Resistance 3: 230 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
338	100.53	1005 	1.650
339	100.31	1003 	1.655
340	100.10	1001 	1.660
341	99.89	999 	1.665
342	99.67	997 	1.670
343	99.46	995 	1.675
344	99.25	993 	1.680
345	99.04	990 	1.685
346	98.83	988 	1.689
347	98.62	986 	1.694
348	98.41	984 	1.699
349	98.20	982 	1.704
350	97.99	980 	1.709
351	97.79	978 	1.714
352	97.58	976 	1.719
353	97.37	974 	1.724
354	97.17	972 	1.729
355	96.96	970 	1.733
356	96.75	968 	1.738
357	96.55	965 	1.743
358	96.34	963 	1.748
359	96.14	961 	1.753
360	95.93	959 	1.758
361	95.73	957 	1.763
362	95.53	955 	1.768
363	95.32	953 	1.772
364	95.12	951 	1.777
365	94.92	949 	1.782
366	94.72	947 	1.787
367	94.51	945 	1.792
368	94.31	943 	1.797
369	94.11	941 	1.802
370	93.91	939 	1.807
371	93.71	937 	1.812
372	93.51	935 	1.816
373	93.31	933 	1.821
374	93.11	931 	1.826
375	92.91	929 	1.831
376	92.72	927 	1.836
377	92.52	925 	1.841
378	92.32	923 	1.846
379	92.12	921 	1.851
380	91.93	919 	1.855
381	91.73	917 	1.860
382	91.53	915 	1.865
383	91.34	913 	1.870
384	91.14	911 	1.875
385	90.95	909 	1.880
386	90.75	908 	1.885
387	90.56	906 	1.890
388	90.36	904 	1.895
389	90.17	902 	1.899
390	89.97	900 	1.904
391	89.78	898 	1.909
392	89.59	896 	1.914
393	89.40	894 	1.919
394	89.20	892 	1.924
395	89.01	890 	1.929
396	88.82	888 	1.934
397	88.63	886 	1.938
398	88.44	884 	1.943
399	88.25	882 	1.948
400	88.05	881 	1.953
401	87.86	879 	1.958
402	87.67	877 	1.963
403	87.48	875 	1.968
404	87.29	873 	1.973
405	87.11	871 	1.978
406	86.92	869 	1.982
407	86.73	867 	1.987
408	86.54	865 	1.992
409	86.35	864 	1.997
410	86.16	862 	2.002
411	85.98	860 	2.007
412	85.79	858 	2.012
413	85.60	856 	2.017
414	85.42	854 	2.021
415	85.23	852 	2.026
416	85.04	850 	2.031
417	84.86	849 	2.036
418	84.67	847 	2.041
419	84.49	845 	2.046
420	84.30	843 	2.051
421	84.12	841 	2.056
422	83.93	839 	2.061
423	83.75	837 	2.065
424	83.56	836 	2.070
425	83.38	834 	2.075
426	83.19	832 	2.080
427	83.01	830 	2.085
428	82.83	828 	2.090
429	82.64	826 	2.095
430	82.46	825 	2.100
431	82.28	823 	2.104
432	82.10	821 	2.109
433	81.91	819 	2.114
434	81.73	817 	2.119
435	81.55	816 	2.124
436	81.37	814 	2.129
437	81.19	812 	2.134
438	81.01	810 	2.139
439	80.83	808 	2.144
440	80.65	806 	2.148
441	80.46	805 	2.153
442	80.28	803 	2.158
443	80.10	801 	2.163
444	79.92	799 	2.168
445	79.75	797 	2.173
446	79.57	796 	2.178
447	79.39	794 	2.183
448	79.21	792 	2.188
449	79.03	790 	2.192
450	78.85	789 	2.197
451	78.67	787 	2.202
452	78.49	785 	2.207
453	78.32	783 	2.212
454	78.14	781 	2.217
455	77.96	780 	2.222
456	77.78	778 	2.227
457	77.61	776 	2.231
458	77.43	774 	2.236
459	77.25	773 	2.241
460	77.07	771 	2.246
461	76.90	769 	2.251
462	76.72	767 	2.256
463	76.55	765 	2.261
464	76.37	764 	2.266
465	76.19	762 	2.271
466	76.02	760 	2.275
467	75.84	758 	2.280
468	75.67	757 	2.285
469	75.49	755 	2.290
470	75.32	753 	2.295
471	75.14	751 	2.300
472	74.97	750 	2.305
473	74.79	748 	2.310
474	74.62	746 	2.314
475	74.44	744 	2.319
476	74.27	743 	2.324
477	74.10	741 	2.329
478	73.92	739 	2.334
479	73.75	737 	2.339
480	73.57	736 	2.344
481	73.40	734 	2.349
482	73.23	732 	2.354
483	73.05	731 	2.358
484	72.88	729 	2.363
485	72.71	727 	2.368
486	72.54	725 	2.373
487	72.36	724 	2.378
488	72.19	722 	2.383
489	72.02	720 	2.388
490	71.85	718 	2.393
491	71.67	717 	2.397
492	71.50	715 	2.402
493	71.33	713 	2.407
494	71.16	712 	2.412
495	70.99	710 	2.417
496	70.82	708 	2.422
497	70.64	706 	2.427
498	70.47	705 	2.432
499	70.30	703 	2.437
500	70.13	701 	2.441
501	69.96	700 	2.446
502	69.79	698 	2.451
503	69.62	696 	2.456
504	69.45	694 	2.461
505	69.28	693 	2.466
506	69.11	691 	2.471
507	68.94	689 	2.476
508	68.77	688 	2.480
509	68.60	686 	2.485
510	68.43	684 	2.490
511	68.26	683 	2.495
512	68.09	681 	2.500
513	67.92	679 	2.505
514	67.75	678 	2.510
515	67.58	676 	2.515
516	67.41	674 	2.520
517	67.24	672 	2.524
518	67.07	671 	2.529
519	66.90	669 	2.534
520	66.74	667 	2.539
521	66.57	666 	2.544
522	66.40	664 	2.549
523	66.23	662 	2.554
524	66.06	661 	2.559
525	65.89	659 	2.563
526	65.72	657 	2.568
527	65.56	656 	2.573
528	65.39	654 	2.578
529	65.22	652 	2.583
530	65.05	651 	2.588
531	64.88	649 	2.593
532	64.71	647 	2.598
533	64.55	645 	2.603
