#Firmware: MS2/Extra release 3.3.1  20131206 18:45GMT(c)KC/JSM/JB   MS2
ToothTime,Time
ms,ms
0.88374,318.10245
0.85404,318.95648
0.87252,319.829
0.8745,320.70352
0.87516,321.57867
0.8778,322.45648
0.87846,323.33493
0.88044,324.21536
0.88242,325.09778
0.88242,325.9802
0.88374,326.86392
0.88176,327.7457
0.88242,328.6281
0.88242,329.51053
0.88176,330.3923
0.8844,331.2767
0.88572,332.1624
2.62086,334.78326
0.891,335.67426
0.86658,336.54083
0.8679,337.40872
0.8679,338.2766
0.86856,339.14517
0.86856,340.01373
0.86658,340.8803
0.8679,341.7482
0.86724,342.61545
0.86658,343.48203
0.87846,344.36047
0.85668,345.21716
0.8679,346.08505
0.86856,346.9536
0.86988,347.8235
0.87318,348.69666
0.8745,349.57117
0.87384,350.445
0.8778,351.3228
0.87714,352.19995
0.8778,353.07776
0.87846,353.9562
0.87846,354.83466
0.87978,355.71445
0.88044,356.59488
0.87978,357.47467
0.87978,358.35446
0.87912,359.23358
0.87978,360.11337
0.8778,360.99118
0.87516,361.86633
0.87252,362.73886
0.87054,363.6094
0.86922,364.47864
0.86922,365.34787
0.86856,366.21643
0.8679,367.08432
0.86592,367.95023
0.8679,368.8181
0.86592,369.68402
0.87978,370.5638
0.8514,371.41522
0.86724,372.28247
0.8712,373.15366
0.8712,374.02484
0.87252,374.89737
0.87516,375.77252
0.87648,376.649
0.8778,377.5268
0.87912,378.4059
0.87912,379.28503
0.8778,380.16284
0.87846,381.0413
0.8778,381.9191
0.87846,382.79755
0.8811,383.67865
0.88176,384.56042
2.6169,387.17734
0.89232,388.06967
0.86658,388.93625
0.8679,389.80414
0.8679,390.67203
0.8679,391.53992
0.86724,392.40717
0.86592,393.27307
0.86526,394.13834
0.86592,395.00424
0.86526,395.8695
0.87516,396.74466
0.85536,397.6
0.86658,398.46658
0.86658,399.33316
0.8679,400.20105
0.87186,401.0729
0.87318,401.94608
0.87318,402.81924
0.87516,403.6944
0.87714,404.57153
0.87648,405.448
0.87648,406.32446
0.8778,407.20227
0.87846,408.08072
0.87912,408.95984
0.87912,409.83896
0.87846,410.7174
0.87912,411.59653
0.87978,412.47632
0.87912,413.35544
0.87714,414.23257
0.87648,415.10904
0.87318,415.9822
0.87318,416.85538
0.87384,417.72922
0.8712,418.6004
0.87252,419.47293
0.86988,420.3428
0.8712,421.214
0.86988,422.08386
0.88374,422.9676
0.85536,423.82294
0.87252,424.69547
0.87516,425.57062
0.87582,426.44644
0.8778,427.32425
0.87846,428.2027
0.88176,429.08447
0.88176,429.96625
0.88308,430.84933
0.8844,431.73373
0.88176,432.6155
0.88374,433.49924
0.88308,434.38232
0.88176,435.2641
0.88572,436.1498
0.88572,437.03552
2.6235,439.65903
0.89298,440.552
0.86922,441.42123
0.86988,442.2911
0.86988,443.16098
0.8712,444.03217
0.86922,444.9014
0.86922,445.77063
0.86856,446.6392
0.8679,447.50708
0.86856,448.37564
0.87912,449.25476
0.85734,450.1121
0.86988,450.98196
0.86988,451.85184
0.8712,452.72302
0.87516,453.59818
0.87648,454.47464
0.87714,455.35178
0.87912,456.2309
0.87978,457.1107
0.8811,457.9918
0.87978,458.87158
0.88176,459.75336
0.8811,460.63446
0.88242,461.51688
0.88176,462.39865
0.88176,463.28043
0.87978,464.16022
0.88044,465.04065
0.87978,465.92044
0.87648,466.7969
0.87516,467.67206
0.87252,468.5446
0.87054,469.41513
0.87318,470.2883
0.87054,471.15884
0.86988,472.02872
0.86988,472.8986
0.86988,473.76846
0.86922,474.6377
